Date,Component,MOS,Cutoff_SGT,Cutoff_SSG,Eligibles_SGT,Eligibles_SSG,Promotions_SGT,Promotions_SSG
2023-AUG,ACTIVE,14H,798,798,88,81,0,0
2023-AUG,ACTIVE,14P,412,540,110,107,2,1
2023-AUG,ACTIVE,14T,392,798,309,98,10,0
2023-AUG,ACTIVE,15B,475,611,130,29,4,1
2023-AUG,ACTIVE,15C,482,798,207,51,5,0
2023-AUG,ACTIVE,15D,488,604,140,52,5,3
2023-AUG,ACTIVE,15E,438,586,164,44,10,3
2023-AUG,ACTIVE,15F,525,798,79,34,1,0
2023-AUG,ACTIVE,15G,403,585,115,44,8,3
2023-AUG,ACTIVE,15H,394,711,60,37,3,1
2023-AUG,ACTIVE,15M,440,798,58,37,7,0
2023-AUG,ACTIVE,15N,306,609,50,72,9,4
2023-AUG,ACTIVE,15P,265,798,36,57,7,0
2023-AUG,ACTIVE,15Q,306,349,58,9,7,4
2023-AUG,ACTIVE,15R,452,634,538,237,17,1
2023-AUG,ACTIVE,15T,366,509,493,322,21,8
2023-AUG,ACTIVE,15U,324,504,188,168,33,14
2023-AUG,ACTIVE,15W,473,601,234,80,9,1
2023-AUG,ACTIVE,15Y,369,798,185,136,10,0
2023-AUG,ACTIVE,17C,40,170,17,6,17,6
2023-AUG,ACTIVE,17E,35,798,10,12,10,0
2023-AUG,ACTIVE,19D,345,386,274,194,5,5
2023-AUG,ACTIVE,19K,59,102,30,31,30,31
2023-AUG,ACTIVE,25B,439,559,867,501,56,27
2023-AUG,ACTIVE,25D,,798,,0,,0
2023-AUG,ACTIVE,25E,798,798,0,0,0,0
2023-AUG,ACTIVE,25H,413,798,601,517,14,0
2023-AUG,ACTIVE,25S,798,798,245,228,0,0
2023-AUG,ACTIVE,25U,461,629,794,803,13,2
2023-AUG,ACTIVE,27D,294,452,38,121,12,3
2023-AUG,ACTIVE,31B,295,483,328,348,107,16
2023-AUG,ACTIVE,31D,160,553,2,74,2,1
2023-AUG,ACTIVE,31E,147,541,16,148,14,5
2023-AUG,ACTIVE,31K,511,798,84,24,7,0
2023-AUG,ACTIVE,35F,420,408,454,243,6,19
2023-AUG,ACTIVE,35G,441,798,222,81,7,0
2023-AUG,ACTIVE,35L,205,492,5,43,5,5
2023-AUG,ACTIVE,35M,433,798,89,66,5,0
2023-AUG,ACTIVE,35N,346,463,282,102,35,13
2023-AUG,ACTIVE,35PAZ,80,798,4,42,4,0
2023-AUG,ACTIVE,35PCM,115,448,2,1,2,1
2023-AUG,ACTIVE,35PFR,798,798,1,3,0,0
2023-AUG,ACTIVE,35PKP,167,558,3,25,3,1
2023-AUG,ACTIVE,35PPF,403,798,11,19,2,0
2023-AUG,ACTIVE,35PQB,798,798,31,18,0,0
2023-AUG,ACTIVE,35PRU,84,310,2,5,2,4
2023-AUG,ACTIVE,35S,71,416,13,49,13,7
2023-AUG,ACTIVE,35T,382,416,96,38,9,5
2023-AUG,ACTIVE,36B,798,798,108,13,0,0
2023-AUG,ACTIVE,37F,,189,,7,,7
2023-AUG,ACTIVE,38R,,182,,3,,3
